ID,Name,Description,ShortName,FileType,CSSClass,ProductID
1,Pair of chicken,A pair of chicken,chicken1,jpeg,standard,1
2,Rooster,Male chicken,chicken2,jpeg,standard,2
3,White Chicken,White chicken,chicken3,jpeg,standard,3
4,Cemani Chicken,Black chicken,chicken4,jpeg,standard,4
5,Mountain Chicken,A toad named mountain chicken,chicken5,jpeg,standard,5
6,Hen,A female chicken,chicken6,jpeg,standard,6
7,Kentucky Chicken,KFC Fried Chicken,chicken7,jpeg,standard,7
8,Free Range Farm Chicken,Chickens grown in free range environment,chicken8,jpeg,standard,8
9,Onagadori Rooster,"The Onagadori is a historic Japanese breed of chicken, characterised by an exceptionally long tail.",chicken9,jpeg,standard,9
10,Teriyaki Chick,My boy teriyaki,chicken10,jpeg,standard,10
11,Popeyes the Sailor Bird,My boy Popeyes,chicken11,jpeg,standard,11
12,Napoleon Bone-apart,"My general Napoleon Bone-apart, his enemies are many, his match are none",chicken12,jpeg,standard,12
13,Poultrygeist,Scray boy,chicken13,jpeg,standard,13
14,Chicken Jockey,CHICKEN JOCKEYYY!!!!!,chicken14,jpeg,standard,14
15,Sanitized Chickens,"le gang consisting of Juan, Mario, Willy, Karolus, Sylphie on their way to adventure",chicken15,jpeg,standard,15
16,Tomoro Chickens,"le boyz consisting of Ryufath, Imam, Christopher",chicken16,jpeg,standard,16
17,Baby chick,10 little baby chickens,chicken17,jpeg,standard,17
18,Eggs,a dozen of eggs,chicken18,jpeg,standard,18
19,Eggs,a dozen of eggs,chicken19,jpg,standard,19
20,Flock of Chickens,Flock of Chickens,chicken20,jpg,standard,20
21,Goose Chicken,Suspiciously goose shaped chicken.,chicken21,jpg,standard,21
22,Organic Eggs,fresh eggs,chicken22,jpeg,standard,22
23,White Hen,A female white feathered chicken raised in the pasture.,chicken23,jpg,standard,23
24,Brown Hen,Brown Hen,chicken24,jpg,standard,24
25,Fighter Chicken,Roosters that are trained to fight.,chicken25,jpg,standard,25
